f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,label
0.0041336897,0.004147204,0.0034677966,0.005097176,0.005112061,0.0046033477,0.0040993746,0.004007529,0.004535834,0.0039675804,0.0040257387,0.004835708,0.004229347,0.005831311,0.0056230025,0.0054586325,0.004376538,0.008141943,0.0049915113,0.013661237,0.005562351,0.0070093116,0.009126653,0.023948632,0.03145198,0.034595072,0.01782245,0.01909039,0.036735576,0.010827859,0.083347954,0.038433243,0.027762873,0.06792494,0.047256626,0.08860213,0.07438377,0.0245124,0.05177037,0.023941318,0.07050903,0.08313684,0.05350897,0.17360441,0.11408513,0.034581885,0.27663797,0.19573121,0.13723655,0.08778146,0.09826981,0.38107654,0.76048553,0.37432665,0.11412415,0.3459668,0.4936354,0.08302978,0.632219,1.1677139,1.212792,0.9521916,0.47209778,0.3970311,0.17921232,0.34462094,0.10717309,0.18967782,0.28915435,0.12877516,0.11889396,0.034881316,0.093774356,0.15760405,0.18049219,0.1389877,0.07389105,0.17945921,0.24185021,0.09076736,0.10961089,0.22267722,0.22536851,0.21737131,0.1983026,0.25207573,0.16451599,0.08975188,0.40104327,0.21063623,0.19400421,0.32074705,0.14946419,0.25770423,0.26221764,0.15002255,0.2313259,0.10093773,0.09332763,0.15330301,0.25005025,0.35792017,0.45921934,0.53336793,0.5325231,0.5236402,0.4044222,0.06710975,0.45819268,0.7570556,0.8342512,0.93752205,0.42161885,0.4779664,0.4407932,0.17913415,1.1383741,0.16541786,0.6552372,0.67438716,0.61410886,0.16308327,1.0159253,1.0591173,0.55916184,0.25811258,0.35057354,0.28255054,0.23969352,0.24342412,0.046316203,0.54389125,0.18672317,0.09629197,0.14582369,0.3957277,0.18386391,0.40379626,0.26162565,0.43206736,0.33072197,0.55804133,0.29980865,0.4773602,0.77016777,1.2207328,1.1868678,1.0184097,0.85666126,1.0537143,1.270734,1.3138373,0.90169394,0.58027816,0.51774657,0.32800126,0.18580858,0.4283131,0.40984306,0.1968534,0.41763887,0.3400129,0.3762422,0.49332052,0.8813565,1.6628549,2.1328673,2.704429,2.7956052,2.055775,0.67046034,1.0481352,2.278674,3.499389,3.4096055,4.8830686,2.3554163,2.3828552,2.5314136,4.1055207,11.120948,6.4404116,1.3940887,6.983506,6.553906,6.1694865,2.7485418,1.0028098,0.9254522,0.80044925,0.14484614,0.3103991,0.3938038,0.12485482,0.3417712,0.22313094,0.18250681,0.12893736,0.29331604,0.0,A
0.010274237,0.0110966405,0.01080266,0.009756081,0.010763071,0.010543408,0.00922842,0.010937065,0.012098581,0.01199929,0.01190411,0.012608808,0.012001023,0.013395099,0.014403399,0.015111493,0.015762553,0.014781584,0.010872261,0.010487035,0.007846774,0.005099131,0.017180324,0.022770405,0.029449383,0.028311668,0.016093668,0.0225282,0.050157644,0.01941821,0.029418752,0.03695623,0.036523677,0.012839441,0.030535107,0.0065402533,0.03653183,0.057369843,0.054357067,0.06516455,0.06721213,0.04410305,0.112039275,0.16724715,0.17455362,0.26001388,0.16827609,0.17434599,0.10784145,0.19349855,0.31941593,0.39409387,0.508751,0.3215485,0.24595812,0.20803183,0.17965232,0.09333037,0.07429203,0.10436579,0.11740109,0.08013462,0.0782302,0.059410248,0.05767635,0.06939498,0.053156562,0.03874042,0.029392485,0.044726606,0.007742095,0.026527204,0.030676456,0.067494154,0.03896469,0.076770484,0.075623594,0.026235575,0.076179944,0.02852123,0.048102334,0.040711883,0.0520168,0.057388008,0.07403207,0.09248174,0.115069725,0.22990036,0.22609676,0.3464274,0.23704307,0.14790893,0.15801859,0.14690946,0.3279262,0.39487955,0.20821346,0.15202308,0.05230477,0.23506801,0.18467158,0.35345417,0.72750765,0.5612898,0.4262737,1.0211943,1.4214319,1.9728504,2.6842804,3.1789541,3.1817691,2.776524,2.214211,1.6749055,1.3186855,1.136848,0.93207556,0.7746166,0.64699656,0.5566403,0.510659,0.4257137,0.43061215,0.2937464,0.37511843,0.28053448,0.38613766,0.3046125,0.45606753,0.32058203,0.3721306,0.3143413,0.30753106,0.3738971,0.25236967,0.11932196,0.59777004,0.0280442,0.46851462,0.39816,0.21208352,0.38681835,0.53280586,0.2574407,0.8325876,0.77874625,0.70877296,1.2550628,0.82259756,0.603133,1.366429,1.0132651,0.54423326,0.5845161,0.98315644,0.3529619,0.3068167,0.45757303,0.98361844,0.5811625,0.45647356,0.7578513,1.1284915,1.3059661,0.72535515,1.6507353,5.4160542,8.777007,7.05998,5.1853027,3.5304048,1.689734,1.2269741,1.3425894,0.9600378,0.33676413,0.09447864,0.23635724,0.21369497,0.20831914,0.3130159,0.05826694,0.14045483,0.1983312,0.1987036,0.049460888,0.35577267,0.41840705,0.25025827,0.1994137,0.08121708,0.13554105,0.13319847,0.6137889,0.5222717,0.25943765,1.0088241,1.5560889,1.8665485,0.0,A
0.009196222,0.009639305,0.00818744,0.008027396,0.009296999,0.008591043,0.0100539755,0.008045993,0.009335837,0.009150195,0.007632394,0.008912735,0.007845059,0.010930176,0.009618307,0.010551264,0.007907247,0.012089583,0.012441382,0.0135930665,0.018763628,0.007183047,0.016763499,0.018631335,0.029542483,0.032831956,0.017413763,0.020008938,0.036072083,0.037705556,0.04237362,0.051887475,0.042993084,0.032407004,0.03068349,0.06034389,0.045479067,0.052408926,0.08887418,0.089344755,0.08237162,0.073300295,0.16674395,0.11814662,0.12299018,0.13356037,0.22399724,0.25050566,0.21903439,0.25300094,0.5689301,0.5188937,0.30283222,0.9999027,0.27805695,0.4274905,0.31763634,0.12053276,0.10179638,0.27606055,0.2440125,0.15648149,0.13727286,0.14006077,0.059093278,0.0870743,0.035797745,0.04134073,0.024749905,0.04389061,0.07979704,0.07002333,0.10255748,0.03128476,0.03998393,0.06944834,0.062771045,0.030672893,0.05505104,0.062116656,0.070337735,0.037953056,0.08708951,0.113193214,0.12411595,0.106569536,0.16100231,0.19146731,0.19689104,0.2203985,0.30739686,0.17811337,0.1758574,0.19525501,0.38137352,0.35522422,0.22767545,0.06127117,0.13451454,0.13999058,0.33549765,0.37399343,0.44323426,1.3318346,0.6138402,1.11266,1.2861217,1.3621739,1.9676052,3.4653442,2.2065325,2.570681,2.345059,1.5758706,1.1780608,0.8439293,0.2902101,0.36494988,0.361058,0.37611943,0.14715518,0.22359404,0.07833683,0.06128251,0.025285149,0.046572603,0.041694384,0.040036365,0.04852931,0.045942843,0.05535723,0.05509319,0.084870815,0.079652876,0.058274824,0.15232211,0.2209418,0.20331565,0.15923698,0.21800143,0.24778622,0.30464467,0.36740318,0.48347235,0.5290223,0.7460381,0.86170524,0.95451635,0.9102757,1.0614681,1.0164461,0.992562,0.9528061,0.8342437,0.5274823,0.43973213,0.29683563,0.29532373,0.47443587,0.48855695,1.084337,0.3086709,0.31108975,1.3507173,2.228155,1.525743,5.2905927,3.8213139,12.5892725,10.219298,1.9451352,0.6577077,0.98386765,1.3439776,0.89589924,0.5721478,0.097192116,0.26174292,0.10997402,0.18038322,0.13963515,0.30693698,0.25574797,0.2342446,0.07678069,0.08520279,0.12610918,0.11467444,0.081286915,0.09468415,0.10339974,0.20414004,0.37112933,0.44921526,0.6151849,0.4438808,0.5930254,1.0270907,0.9105569,0.0,A
0.3065225,0.30534598,0.3065376,0.30596843,0.30508986,0.3066872,0.30683467,0.30591288,0.30552182,0.30607927,0.30494314,0.30588377,0.30671608,0.30696216,0.3067846,0.30862805,0.31046814,0.308321,0.31085947,0.3095564,0.31199378,0.31313655,0.31924865,0.30817947,0.30869028,0.31852436,0.31327,0.28226104,0.37434953,0.35229492,0.35294586,0.31987813,0.298564,0.28289986,0.32893866,0.3668113,0.298487,0.32892936,0.403367,0.30833918,0.3022444,0.34305388,0.28719035,0.4061742,0.3098703,0.4458832,0.4900538,0.45187852,0.3506008,0.37725306,0.6278655,0.66140956,0.903795,0.985438,0.99496824,0.34118786,0.68182427,0.7418341,0.3693701,0.40905622,0.56675625,0.57091063,0.34140608,0.42455116,0.60162085,0.45363635,0.39186403,0.36163893,0.34220445,0.32989556,0.32479027,0.37051076,0.57324606,0.60026366,0.43276185,0.33060157,0.3245433,0.32164383,0.386308,0.4077644,0.37322608,0.34932002,0.38534883,0.31505132,0.40677956,0.5134707,0.4583703,0.40881664,0.56257415,0.2880837,0.6761832,0.5066582,0.37778315,0.34912547,0.3422431,0.9165736,0.68063253,0.37361333,0.35276785,0.51867306,0.92080325,1.8568044,2.478603,2.4222398,2.209025,2.1380305,1.6661807,1.7339264,2.30812,1.4927557,2.6769438,1.7686764,1.5519257,1.2431552,0.43661284,1.359341,0.9536944,1.0190744,0.32891387,0.5000615,0.25730228,0.24397758,0.65603554,0.3190434,0.32896546,0.30789512,0.2906003,0.31945217,0.30068877,0.37745482,0.40151408,0.35319173,0.3611693,0.34042045,0.34267822,0.34071285,0.37362057,0.50212663,0.3769079,0.3540071,0.5034788,0.45563847,0.53703403,0.3982167,0.37766632,0.93205166,1.19866,0.921189,0.5502758,0.68541527,1.6158634,2.1015403,1.5837363,0.5885783,0.8207746,1.2158394,0.6846906,0.60985005,0.7644304,0.93250406,2.1137946,2.6830547,2.5107188,0.73016584,1.6390258,5.7116847,4.843716,10.617797,9.412865,1.9380634,1.9312664,1.4385064,4.240694,5.446302,4.734559,3.2313144,1.7750075,0.8178532,0.6599851,0.7665504,0.7577516,0.52563393,0.19404966,0.22977504,0.39197427,0.4152786,0.23503481,0.25912783,0.27071577,0.27041844,0.34130755,0.37582323,0.4150214,0.40422207,0.25219083,0.32647002,0.41126886,0.50392336,0.29379204,0.0,A
0.052612055,0.054303892,0.053107113,0.05271767,0.054236423,0.052105144,0.052021146,0.05198475,0.053110212,0.053218,0.05307678,0.050716072,0.053140294,0.049639396,0.05234413,0.05121285,0.048124872,0.05516872,0.052442998,0.05416798,0.05344088,0.050453633,0.05141112,0.052658614,0.05401379,0.041692965,0.05620621,0.056983184,0.028602928,0.045026008,0.06312835,0.04303666,0.05473367,0.04366771,0.07736439,0.057548884,0.047617562,0.09030367,0.05970049,0.06560537,0.10161127,0.042799715,0.08745441,0.18818025,0.1944535,0.24641462,0.24758776,0.21209848,0.10329208,0.16860971,0.36136198,0.45018128,0.59537464,0.4184547,0.32417917,0.27605605,0.17688772,0.1835665,0.12491946,0.23680906,0.0914447,0.1901281,0.10915742,0.13922468,0.19891517,0.22000846,0.120617166,0.09467519,0.15850683,0.1570675,0.09928558,0.106966965,0.078833446,0.04915289,0.06426005,0.12192571,0.18322477,0.06257374,0.12478838,0.115625545,0.10283311,0.057888802,0.049702056,0.08591844,0.06636841,0.025040852,0.1203083,0.2735127,0.3260534,0.3651063,0.54946345,0.20409389,0.20253956,0.35235044,0.48208123,0.415023,0.53253484,0.42305622,0.6248336,0.6379437,0.75582063,1.240688,1.4094115,1.2241147,1.0265857,1.1323913,0.6173243,1.3065087,0.6811309,2.178541,0.82917976,2.2146733,0.8930458,0.7484493,1.2499743,1.266358,0.4922515,0.50680435,0.41970935,0.19268572,0.19623761,0.3364946,0.19084856,0.27565065,0.24659552,0.24671641,0.25058725,0.19723341,0.21038084,0.21251571,0.20230086,0.1917534,0.23303877,0.1972735,0.24408299,0.2733244,0.36646572,0.17765106,0.31643066,0.38618764,0.35994554,0.1720447,0.20557553,0.30600306,0.5634546,0.80147386,0.781619,0.6868265,0.72017604,0.7573919,1.3989819,1.760268,1.532814,0.81175834,1.1946411,1.0271174,0.25024086,0.48609963,0.5825584,0.46461776,0.6619127,0.9891466,0.923309,0.57156926,1.8158412,3.9784834,5.724998,5.4811025,11.644739,2.8786087,5.618275,4.618785,4.737404,5.4902377,3.5409462,1.6571459,0.69210356,0.08192415,0.17497958,0.060378578,0.13387166,0.090815336,0.1340435,0.19364984,0.17036346,0.12140484,0.100254595,0.14120448,0.14042155,0.24272494,0.34513023,0.29265693,0.19409126,0.28803763,0.3647772,0.38088292,0.4406247,0.5595715,0.5691458,0.0,A
0.26741946,0.2685298,0.26881588,0.26765195,0.26963112,0.2692021,0.2675121,0.26731133,0.2685468,0.26911807,0.26750627,0.26872307,0.2676822,0.2674682,0.27066,0.26934138,0.2682003,0.2728881,0.27358612,0.2694451,0.27202854,0.26660478,0.27393645,0.25478238,0.2812948,0.27181706,0.28068352,0.23317291,0.26638103,0.2680891,0.32151484,0.25154242,0.25273153,0.27494648,0.27268592,0.2665318,0.3157943,0.32896858,0.24701805,0.2779041,0.30391976,0.1908114,0.22622797,0.21384934,0.30736,0.3116369,0.39813653,0.4503588,0.25367513,0.28175458,0.7636347,0.5853232,1.0278766,0.35369077,0.8858259,0.46068096,0.20868666,0.55399793,0.27609244,0.49317065,0.22396772,0.41410097,0.42488948,0.28864837,0.22347152,0.22572677,0.42020518,0.41053778,0.26891223,0.377659,0.2950988,0.23853992,0.39518994,0.32873344,0.3209264,0.32496712,0.30303967,0.31595543,0.35497504,0.3893361,0.36209893,0.3302861,0.36658454,0.37773895,0.34725034,0.3754761,0.43599868,0.3961666,0.3829722,0.26976624,0.28984925,0.24339175,0.35339144,0.4353588,0.18037423,0.43606701,0.90235925,0.7103958,0.19662517,0.8371118,0.97634935,0.67282325,1.0963706,1.8222125,1.2140759,0.65924203,2.2925742,1.0489081,2.2473752,2.0194316,1.4261253,1.8437483,0.6677027,0.81668127,0.39028373,1.6891418,2.5203145,1.1812431,1.2687327,1.6256654,0.5043028,0.2520714,0.21124929,0.32134107,0.23698975,0.255866,0.22540712,0.11359319,0.1369331,0.18345675,0.1832197,0.18064137,0.15926704,0.19859034,0.20105946,0.15795627,0.29223436,0.26660997,0.2192109,0.22062506,0.17202519,0.22899263,0.30487671,0.15104882,0.056367055,0.4904183,0.5806814,0.59183925,0.31399995,0.50277054,1.1010034,1.2599701,0.82521725,0.43700927,1.0203667,1.0404402,0.43455806,0.5207825,0.92936337,0.7810798,0.37089655,1.3439647,2.5464256,1.2339339,2.7048712,2.0506542,5.648289,4.1180296,7.5156775,2.0341,2.1289291,1.2567636,2.5521028,3.915372,4.5227757,7.097803,5.2276125,2.824327,3.0011268,3.9832976,3.1609595,1.4277403,1.1417227,0.8460394,0.4823533,0.20827115,0.19019584,0.22399555,0.18739305,0.19545658,0.22359437,0.4371164,0.09185419,0.064916834,0.2758325,0.15656234,0.22837736,0.18525824,0.5317798,0.0,A
0.090614244,0.09112837,0.09258727,0.09135514,0.09123135,0.091882855,0.09166375,0.09125113,0.091687165,0.09081923,0.09108583,0.09128588,0.091538966,0.09155088,0.09060152,0.08939241,0.08907126,0.09095206,0.088502966,0.09721144,0.095038615,0.096536554,0.10134698,0.09109177,0.095846124,0.097644456,0.093481705,0.09971377,0.11038658,0.08898269,0.112208344,0.10323145,0.11370051,0.081424855,0.09674795,0.10897258,0.11254813,0.12437707,0.10727529,0.103723705,0.110362545,0.15803365,0.19243462,0.12261358,0.26170468,0.23632614,0.23411383,0.3469317,0.26990107,0.4085421,0.6121434,0.70836467,1.4525082,1.6715685,0.80149096,0.18687496,0.08704717,0.11741036,0.067097805,0.051563792,0.054429393,0.11079594,0.09651037,0.06857574,0.18068822,0.06219408,0.19315605,0.19387385,0.07628043,0.14236473,0.09215323,0.05399734,0.12535633,0.0969366,0.09952117,0.10125443,0.106612474,0.063904606,0.11580045,0.17986643,0.077192254,0.08690716,0.12384021,0.20336226,0.13573922,0.13585293,0.13110712,0.34590656,0.6479524,0.7287145,0.59367734,0.16499962,0.14660852,0.25258875,0.7940435,1.2062532,0.6862894,0.39070436,0.58910877,0.6878718,0.5066096,0.6234337,1.0562965,0.7134447,0.8771804,1.5150213,4.587747,6.5603666,11.472713,13.74802,10.712525,5.506694,1.9150059,0.85069406,0.32374275,0.3967945,0.6870217,0.54009944,0.28174427,0.1175975,0.08938066,0.11949956,0.13274777,0.14097592,0.13144924,0.11303965,0.14666103,0.12299792,0.11706161,0.18469706,0.103208244,0.090231866,0.09609457,0.16450141,0.23574644,0.31480858,0.38836753,0.5745988,0.54608023,0.39688444,0.48334715,0.24816383,0.84462,1.2717383,1.4841273,1.6941853,1.4532788,1.1457366,0.9505521,0.8515074,1.2513822,1.4440677,1.2356274,0.526856,0.8580592,0.96501666,0.6651417,0.80581987,1.0704004,1.2090979,3.0523376,4.8662524,6.919712,10.62871,14.925589,17.764166,17.570904,14.39301,9.603205,4.9302783,1.7290624,0.32852545,0.3340877,0.14034049,0.13742459,0.21833362,0.22228761,0.19056404,0.24657902,0.25925437,0.23968667,0.18488769,0.12126341,0.17428422,0.22242232,0.32623357,0.27675006,0.18996546,0.17913733,0.21356688,0.3273922,0.7508586,1.4413902,2.1752477,2.0106366,1.6756843,2.0676327,2.3668764,2.902293,0.0,A
0.28072175,0.27998996,0.27986285,0.28117505,0.28090537,0.28045532,0.2819342,0.28273293,0.28158778,0.2826733,0.28251204,0.2818433,0.28259116,0.2818502,0.28545603,0.28471008,0.2859952,0.28566128,0.28855008,0.28876814,0.29519826,0.29647014,0.2971257,0.2975509,0.27422443,0.3014535,0.2982848,0.31373134,0.31039184,0.28660995,0.29845795,0.28097197,0.26523593,0.3047789,0.27468607,0.26966,0.28433582,0.2574713,0.25969043,0.26111734,0.2645496,0.29519603,0.2946389,0.28547323,0.32530323,0.30471087,0.2358969,0.4548331,0.18366669,0.14821045,0.4475917,0.42138356,0.5919872,0.68907607,0.31376046,0.56719726,0.6574349,0.55178773,0.459905,0.6759258,1.1650311,1.1359226,1.0532339,0.866589,0.5769986,0.66513073,0.52489716,0.5171493,0.42468393,0.41718468,0.47402152,0.4249577,0.40174603,0.37809345,0.4152895,0.4740338,0.4138378,0.44637036,0.4923565,0.3854271,0.4795086,0.39252645,0.3758386,0.35357597,0.41992417,0.41728184,0.39609542,0.4594645,0.36148986,0.59914,0.37489906,0.40124804,0.3879698,0.3947125,0.3891558,0.4914773,0.35136983,0.37655365,0.42305052,0.3641859,0.2888056,0.7120557,0.60023695,0.35932243,0.702516,0.6212955,0.40750244,0.61711556,0.9355847,1.2860487,0.821305,1.4134656,1.1766536,0.8750853,1.7184411,1.9428861,1.3841419,1.087502,1.1259258,0.92541224,1.2384591,0.8803002,1.539983,1.324076,1.2329127,0.9572597,0.7087971,0.57283646,0.38286927,0.36847994,0.29268768,0.31188288,0.35751563,0.3055481,0.38781586,0.4221766,0.42093927,0.44307703,0.41773927,0.42843452,0.4268449,0.36491176,0.42605105,0.5333407,0.37260628,0.7842049,0.77598923,0.33527842,0.88807493,0.5340014,0.38557658,0.93946743,0.30371556,0.4477128,0.73329145,0.29632434,0.33556038,0.5942093,0.80186385,0.8716648,0.50919586,0.7290525,1.2846864,1.5188687,0.97249794,1.2533928,2.3690057,3.7613337,3.0411391,2.6698349,1.801113,2.3852568,2.9622514,3.1235082,4.2186007,5.1759334,4.954384,3.98136,3.5781252,3.3452258,3.4521346,2.5315802,5.6181693,6.7570505,5.7991066,9.073815,8.5230255,5.9570704,4.760789,1.6757566,1.4882052,1.2752055,0.9261606,0.6967188,0.6581386,0.7486688,0.84709585,0.7996013,0.72896844,0.0,A
0.0016340078,0.0013223663,5.648505E-4,0.0023712842,0.0019333519,0.0014749208,0.0012917772,0.00127372,0.001367656,0.0011726957,0.0018248797,0.0018767236,0.003752406,8.2027516E-4,0.0016769498,0.0025605548,0.0043925056,0.00547457,0.0031848934,0.0031879751,0.0063173883,0.003166975,0.008441852,0.008084545,0.0073196306,0.021245908,0.017041728,0.014548,0.024689924,0.01925052,0.017969446,0.020159837,0.028620405,0.017007679,0.01785962,0.029035158,0.017656857,0.026913727,0.028518988,0.015744835,0.019554114,0.027420323,0.015623075,0.017534642,0.026763346,0.012705228,0.0069113737,0.019584248,0.016482523,0.011877158,0.017126197,0.014778299,0.03141258,0.034875598,0.03106325,0.010121484,0.025023004,0.011884185,0.0168315,0.028132591,0.016638145,0.012178413,0.021878896,0.01587782,0.00949948,0.0140927,0.0149365915,0.014107085,0.013083511,0.031425495,0.030721122,0.015127975,0.007149906,0.018111205,0.0057844697,0.009409402,0.010118749,0.019954737,0.019033063,0.0075203944,0.010777002,0.008740977,0.01221875,0.011826219,0.009636851,0.012768793,0.013396713,0.022976149,0.013409635,0.014651399,0.008509416,0.009685521,0.010819791,0.009863492,0.016314615,0.010104441,0.0053193495,0.013450711,0.0073053367,0.0046687964,0.0074161077,0.011611665,0.021942992,0.019605866,0.014346366,0.021120641,0.008554134,0.009964346,0.016826026,0.010317423,0.0058478974,0.014579122,0.009225756,0.0040924875,0.010842514,0.01049014,0.014611082,0.008614843,0.009741824,0.04384977,0.033016462,0.02354182,0.018042717,0.011155712,0.012882274,0.013878114,0.009007541,0.010385142,0.010453423,0.009562935,0.00834132,0.0055903946,0.008020806,0.010582558,0.009984147,0.006570726,0.010822785,0.0107980175,0.008569871,0.0056617283,0.011801908,0.010720217,0.007946713,0.0041861306,0.00481805,0.00437953,0.006945597,0.006344831,0.011941685,0.02113576,0.0068264543,0.011604631,0.0045955903,0.011210557,0.010712502,0.016492564,0.0089427,0.009771718,0.006801272,0.010188911,0.01242806,0.0044566845,0.014032887,0.013610907,0.028233241,0.0469844,0.02481825,0.029056815,0.04885899,0.04948805,0.030082129,0.013550569,0.016043201,0.017663687,0.018562712,0.025461877,0.0146846445,0.033995647,0.07773496,0.11471737,0.10720515,0.08020153,0.05451127,0.05315045,0.026807489,0.022760727,0.04831811,0.022389272,0.021369899,0.023033375,0.011614991,0.008661654,0.02543254,0.017870657,0.024851382,0.01051926,0.016932327,0.010712094,0.03556604,0.0,A
0.08090964,0.08262023,0.08380601,0.08162182,0.08241392,0.08178992,0.08292214,0.08521727,0.082547925,0.08348379,0.08366806,0.08444532,0.08475444,0.08543098,0.08521757,0.08711513,0.088740386,0.08457105,0.08616846,0.08393994,0.090690546,0.08945145,0.09904313,0.09256114,0.09341642,0.10228031,0.0912797,0.121873975,0.10461866,0.08407844,0.1200887,0.1245113,0.12009142,0.088112935,0.12838247,0.09668562,0.13837144,0.11597768,0.1330355,0.09382794,0.12568985,0.12113784,0.13241118,0.1982276,0.12595417,0.216916,0.07482328,0.18289734,0.23629834,0.13460135,0.37839842,0.51569366,0.9258283,0.80212194,0.45675918,0.43993714,0.6199634,0.486233,0.69733024,0.6161881,0.4694353,0.5256451,0.67337394,0.64718544,1.9068041,3.6003118,4.4886103,4.7322617,4.062452,3.2780068,2.648608,2.0604925,1.4388704,1.0293672,0.6504495,0.5589892,0.42023802,0.3243999,0.35437733,0.23960058,0.16375382,0.082193285,0.13449566,0.14868528,0.13960889,0.102661595,0.12165609,0.10351217,0.13308436,0.13786644,0.09294307,0.1527374,0.10911139,0.12579523,0.20332062,0.04195015,0.1612644,0.09282126,0.21199991,0.11277035,0.15642813,0.64736307,1.135711,1.4318559,1.4443911,2.3412569,1.7495313,1.0392675,1.131285,1.048961,0.9798746,1.2543424,0.9646161,0.5883613,0.40062147,0.63723886,0.8795047,0.6850118,0.7806271,0.77246356,0.45681578,0.7441973,0.85369194,0.70754033,0.78139085,0.5424078,0.48971495,0.7165657,0.86998934,1.1455568,0.9829075,0.52777797,0.5641568,0.7288822,0.6653891,0.9578748,0.8749734,0.92749035,0.9658715,0.8563373,0.66146183,0.43154177,0.34592932,0.5326694,0.5687386,0.6096906,0.54770225,0.33118093,0.33402842,0.1800471,0.31622252,0.18479602,0.28692573,0.24126452,0.30934882,0.12008274,0.49974114,0.37090537,0.2990152,0.47339833,0.54979205,0.5124173,1.4333689,2.293064,2.0976567,3.2225208,3.9455023,5.0190988,4.4048944,3.141289,1.5809851,1.6089602,2.3976824,2.6440277,3.7507052,2.845935,2.8824463,1.9731205,1.8311323,1.2554052,1.1002729,0.9727884,2.2157743,2.2493992,2.9904943,2.766775,2.6544042,2.2721527,1.2096581,1.6287014,2.335566,3.9253407,5.3134894,6.4636183,7.753928,8.1513,10.53691,14.787474,16.36193,0.0,A
