f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,label
0.11206296,0.10706608,0.11305381,0.12483401,0.13465448,0.13355823,0.1217416,0.13276069,0.16330953,0.19568537,0.19733645,0.16936298,0.17005005,0.17943476,0.26141843,0.31544614,0.1861807,0.5586879,0.028208068,0.30917394,0.4594792,1.2505128,1.2274172,2.106375,1.5178131,1.8998873,0.6683415,1.5473508,1.0555073,3.59488,5.631375,6.9999423,2.07742,3.3264546,1.6741009,1.0034171,2.7306793,3.3759189,2.419121,2.7613816,3.3266432,1.4547415,1.1761069,1.1670319,3.3177297,5.430871,7.0835567,7.86308,3.3475025,5.078059,6.2467027,1.1214086,2.1464255,4.32522,2.3204494,1.774203,2.854946,2.9110122,2.0396144,2.379381,3.178621,2.890434,1.947617,1.9216833,2.0924697,2.2704735,3.706791,2.2686994,1.2206591,1.9112853,2.4866295,1.7433734,1.7884141,0.71236664,1.6628906,3.638008,5.36586,2.6457307,0.73702466,1.3398247,1.5470243,1.0320522,0.9597458,0.6265118,0.8916621,1.5049801,0.97369623,1.0534247,1.1216015,0.41465947,0.9532948,1.146447,0.7978616,1.132911,1.0910642,1.0899366,0.70707506,0.93975407,1.1457603,1.5759087,1.841598,1.0233269,0.60715985,0.56604916,1.4793657,2.7141483,2.198727,1.8697783,1.20627,1.3041073,1.788047,1.7931422,4.184655,6.8892465,8.67628,9.676729,7.5989456,3.6767678,2.3815746,1.4299477,1.0389704,0.7908278,2.01715,2.1893892,2.1385376,2.10503,1.8113577,0.9688304,0.48778135,0.2329233,0.46807235,0.81126153,0.96494216,1.157431,1.4904932,1.0741044,0.34746546,0.2096108,0.05965987,0.35100022,0.46587184,0.4640526,0.12556596,0.18712993,0.42577314,0.2863631,0.08849094,0.17890958,0.19606191,0.16003247,0.24838337,0.5596704,0.61982876,0.4943569,0.74544895,0.45686272,0.46124792,0.37032798,0.5316467,0.35684428,0.114067316,0.37442815,0.5988524,0.70541465,0.778752,1.0054034,0.56741154,0.112120345,0.1613192,0.2576419,0.4488715,0.41614038,0.5190509,0.39302796,0.5179414,0.38005507,0.33268452,0.42329192,0.325084,0.46680945,0.439923,0.24747387,0.1159292,0.35125884,0.66773784,0.5735491,0.37387925,0.33949342,0.065704554,0.15033025,0.07634588,0.1522528,0.27789396,0.18890186,0.17992945,0.15196776,0.1486691,0.21731766,0.2517634,0.0,A
0.11062072,0.120864004,0.11149586,0.114064194,0.11941886,0.13005607,0.1183419,0.124694236,0.13792375,0.14547862,0.1494678,0.1485774,0.15899856,0.15679632,0.1978197,0.20655598,0.2608981,0.27323487,0.2648428,0.13028587,0.4228391,0.6157586,0.76280797,1.526905,2.7105863,2.720593,2.8674228,3.4219456,1.9524496,5.1851006,6.330539,4.316811,2.570737,2.0236611,1.2493944,1.467435,1.6065067,2.87464,2.7135046,1.9084631,2.1536255,1.8617674,1.2136879,2.3096492,4.585928,6.1263165,6.6466775,5.8449802,5.617747,8.209075,7.827048,4.088193,5.0525966,5.298178,1.7777109,3.1463811,4.163026,2.0387752,1.1086315,3.0068564,2.856659,1.4204364,2.1099174,2.802318,2.0718958,1.8000302,1.8070915,1.6965414,1.990825,2.0801547,2.0126426,1.5064521,1.1071298,0.9719152,1.872993,3.7213778,4.46931,3.1441748,0.9282688,1.669515,3.0375557,3.242025,1.5679041,0.83346677,1.9472399,1.3595725,0.4141442,0.3606136,0.70422846,0.79412836,0.76351386,0.933419,1.1599293,1.0619032,0.9933841,1.1831043,1.1809877,0.7750924,1.2181128,1.9890151,2.0919423,1.6560227,0.672471,0.83522326,2.007546,1.9869951,1.13404,0.8779747,1.2235154,2.3578398,2.7148268,1.9364278,1.471843,2.7422931,5.12797,7.0425773,7.5165434,6.608334,4.580632,2.256975,2.2919703,3.262833,3.1438258,2.2161882,1.1460397,0.5098218,0.6288555,0.7522793,0.5743977,0.29670873,0.37518725,0.3057436,0.36914834,0.7772252,1.0002226,1.0002618,0.97479814,0.7706662,0.38745025,0.24979733,0.2844589,0.22801344,0.15324698,0.13675971,0.24481262,0.2560343,0.0955721,0.2019044,0.3655968,0.26568106,0.27951568,0.3125023,0.35546997,0.2630173,0.34965128,0.45051938,0.48941314,0.45234168,0.28027642,0.10382814,0.08196362,0.14321566,0.19883111,0.16094482,0.5534984,0.8975418,0.9358452,0.65276533,0.21089394,0.20697984,0.33266956,0.25738543,0.463109,0.75060916,0.80023897,0.61086786,0.3613135,0.22092623,0.24440676,0.44995373,0.5581948,0.3824325,0.20427242,0.4294676,0.5961873,0.5144956,0.38296556,0.3346348,0.29186106,0.2068805,0.17324062,0.23982425,0.26727206,0.20805548,0.10925352,0.064646,0.0768105,0.16793977,0.24154818,0.0,A
0.22994524,0.22999413,0.2288319,0.23092405,0.22568536,0.23741202,0.24284261,0.25639272,0.23660423,0.23905773,0.24738245,0.28795543,0.27057043,0.26274446,0.25990513,0.3122246,0.43782917,0.35885015,0.36834824,0.36493388,0.38163683,0.60330087,1.080812,1.6297934,2.0136127,2.0212162,1.575798,1.061072,1.7628295,3.363817,4.510646,3.457697,2.8148234,1.6731371,1.0620414,0.870264,1.3118744,3.4737031,2.82202,2.5247204,1.58631,1.6190813,1.7405256,2.8927193,3.497478,4.5713153,5.784566,6.7384305,7.2273564,7.0657496,6.187267,4.698985,2.8378136,1.0591034,0.7674787,1.6647456,1.9418253,3.0449636,3.2844238,1.9919758,1.7891265,3.2810953,3.6727414,3.0245292,2.0315976,1.3830386,1.7513177,1.090471,0.7907751,0.8266161,1.5643071,1.502129,1.7142849,1.7723897,1.7187502,1.58775,2.1864634,1.4287483,0.84814173,0.5640791,0.8363978,1.2850003,1.4416305,0.9756742,0.83372873,0.872571,0.6783228,0.6833356,0.5330025,0.43264344,0.76895416,0.8875502,0.65272856,0.8402717,1.0532244,1.3341014,1.6647403,1.9223763,1.9911234,1.8464087,1.5113822,1.0627925,0.9295655,1.020347,1.1468129,2.2583969,2.209452,2.021425,1.7004657,1.9079341,3.9383624,4.327143,3.0371854,0.80928534,2.8829648,4.1557684,3.7495363,2.4338846,3.8548913,3.836796,3.0679634,3.0734344,2.310925,1.2510328,0.63810694,1.0792751,1.0685157,0.58810323,0.38973096,0.47294828,0.81886715,0.77753115,0.42702577,0.477448,0.5663574,0.5632659,0.095071405,0.43792045,0.47122422,0.3611999,0.3472314,0.42261952,0.2501319,0.113755,0.11607192,0.12630919,0.14802563,0.28961453,0.42830157,0.52167386,0.5603139,0.35436365,0.4688368,1.1061591,0.9988823,0.5064007,0.08993486,0.35819414,0.2987395,0.21416092,0.13160801,0.16628551,0.29232207,0.6146532,0.6840853,0.9076572,0.9003979,0.7647561,0.8303907,0.7509727,0.5494104,0.2723384,0.29294074,0.2632815,0.38515478,0.19936581,0.27562943,0.27115816,0.23053594,0.13424143,0.21260275,0.2678195,0.24439858,0.39242935,0.44928998,0.39048326,0.3448677,0.30089727,0.3852499,0.30869848,0.15133773,0.16107109,0.28521484,0.28161356,0.22530158,0.08428651,0.10336994,0.12859453,0.12842914,0.0,A
0.093042746,0.1002955,0.09601097,0.09786119,0.096907824,0.097515896,0.092230886,0.085124254,0.09856059,0.12529458,0.12320768,0.11702785,0.10626034,0.11254776,0.1024455,0.15047042,0.09776774,0.2492083,0.10545986,0.5285849,0.076566935,0.8027507,1.594529,1.8920697,1.3951182,1.0082309,0.46419305,1.0872679,1.0958824,0.9551781,3.6802118,2.041073,1.7700787,2.3505423,0.92941415,0.8528177,2.2526212,4.2258334,4.271375,3.7654364,2.4086921,2.6196134,1.8796545,1.4073802,5.6769857,7.106816,9.727476,7.808196,4.367941,1.8645954,3.010223,1.7317826,1.7174253,2.7192144,1.7733314,1.1020945,3.2726305,4.062335,3.3023317,2.6901386,4.346321,3.830834,2.6150987,3.0963097,2.0011442,1.6680753,2.7876668,2.4505882,2.454757,3.9599144,2.7596014,1.9290715,1.2406236,0.85115165,1.3128545,0.7186401,2.767912,1.0527742,0.64918417,1.238075,1.303097,1.169965,0.8016874,0.9126582,1.1319547,0.90235525,0.83337486,0.7067037,0.8274314,1.2107232,0.8039405,0.830512,1.2210311,0.9590586,0.9582521,0.7640881,2.1392448,0.87737304,0.15202868,0.82831097,1.0829314,0.83123994,0.95505553,1.0044382,1.4469569,2.439571,1.4610281,0.76105124,1.7943972,4.3521743,5.336748,1.3828192,1.9250252,4.1541595,8.906536,9.39583,3.2511709,1.4860348,5.2747655,4.759747,1.4518969,1.2527996,1.7144669,1.5290833,1.71877,1.0759374,0.6484807,0.68602604,0.8222344,0.81225514,0.7640873,0.39461657,0.49483657,0.6056978,0.6750209,0.79352754,0.5378961,0.2757281,0.33280882,0.37741363,0.3115583,0.568814,0.29332155,0.2904843,0.35819277,0.10822071,0.16153356,0.3356777,0.51284003,0.51382405,0.3836686,0.12866668,0.23702335,0.61907554,0.52435696,0.23379795,0.38088423,0.26566938,0.13851976,0.15878563,0.42231512,0.49347562,0.74361825,0.33141637,0.054672025,0.52800435,0.5404769,0.50392765,0.7753938,0.2574398,0.1821629,0.29549924,0.36301658,0.9007453,0.69811624,0.35465568,0.504705,0.23159188,0.09088856,0.16292599,0.38153812,0.3176084,0.7090061,0.39744425,0.47457206,0.37330955,0.33793947,0.28702024,0.38082466,0.30032745,0.19935201,0.23473541,0.47619745,0.27389464,0.06704812,0.18548417,0.117089875,0.21321462,0.19346514,0.0,A
0.008878674,0.015096517,0.021629706,0.028162204,0.036973033,0.044530753,0.051156234,0.0767917,0.08258696,0.07503387,0.10451977,0.108348705,0.12614058,0.1650445,0.16607532,0.21986482,0.21956444,0.44020894,0.38292927,0.4948834,0.54229003,0.4838625,1.1428651,2.1016738,2.6220422,2.4387498,1.703769,0.9253228,1.3142133,2.0705898,2.2159498,2.4178834,1.2780676,0.88536555,0.6528729,0.82924855,2.6038215,3.5994592,2.9220448,2.64422,1.9625778,1.22439,1.6561155,2.064681,3.4819021,3.165913,4.8138638,8.191812,11.108841,11.656299,9.202584,4.97275,1.9477229,2.5849216,2.9120765,3.149101,2.4175432,2.0131583,1.6911082,1.5109096,1.8480749,2.3571289,1.8567075,1.235523,1.276022,1.0209498,1.4683802,1.173286,1.5012665,2.444095,2.429677,1.2548393,1.8604339,2.2425022,2.4388206,2.554745,2.645423,2.2857943,1.2602364,1.3222451,1.7392435,1.8791213,0.8943394,0.5532979,1.1471231,1.0559374,0.6648596,0.6855138,0.8749112,0.7236099,0.7525187,0.98060644,1.0080738,0.9131529,0.9180243,1.1393465,1.3907812,1.351599,1.1126783,1.3059397,1.8171549,1.8976575,1.2899281,0.8613758,1.0255659,1.4333459,1.0683007,1.743298,2.7635105,4.20398,4.8068004,3.1513314,2.9511135,3.1048076,3.016333,1.9145921,1.506961,3.4455452,6.50711,5.9957952,4.550335,2.7088494,1.7220495,1.7957159,1.5104488,1.6640021,1.3185089,1.186677,1.7293813,1.6566092,1.8906255,1.7813164,1.9184808,1.6904315,1.3255743,1.006407,0.47874543,0.87667954,0.8542603,1.26618,1.3655788,0.8131809,0.48743787,0.42643625,0.6300271,0.48448157,0.25083855,0.58019084,0.7156723,0.77744114,1.0702492,1.1907042,0.9207831,1.363308,0.6488805,0.5091934,0.66230685,1.1749452,0.8693671,0.5112495,0.47316936,0.29841346,0.19579391,0.40255237,0.4506749,0.57110596,0.62014395,0.40267885,0.5585916,0.7315678,0.9301222,0.89321584,1.1362523,1.1373969,0.6182146,0.5291047,0.2547161,0.18904677,0.2439786,0.27768815,0.27292868,0.16485102,0.25135806,0.36214247,0.3341799,0.4481851,0.5701847,0.6631133,0.8014251,0.6790793,0.5105893,0.47557718,0.5030964,0.41998076,0.32083347,0.19665846,0.12021724,0.1567315,0.21143346,0.0,A
0.10852618,0.11008854,0.1099124,0.1089046,0.10878565,0.10709031,0.10805989,0.10414515,0.11585006,0.10440152,0.10931767,0.102054246,0.095059976,0.09841883,0.09675387,0.12336757,0.13208449,0.17124256,0.18930699,0.46528515,0.39443293,0.6764693,0.8741848,0.7943364,1.2594266,1.6727023,1.9151644,1.9276181,1.7873646,1.7070683,3.654843,2.0696106,3.4903827,1.6709868,1.6810833,1.5001862,1.5881245,2.689597,4.0778832,2.0338998,1.0923418,2.357191,2.7876406,3.2879767,5.876789,7.1583366,5.138289,5.5843654,5.4077244,5.901316,5.9101396,5.423593,4.4874053,3.1998408,1.9249136,0.43144396,1.786349,3.7131352,2.2613251,2.186057,3.1701193,3.4997633,2.0001986,1.401615,2.1520634,3.1507664,1.9030987,3.0696146,2.9976242,2.4306715,1.2214341,0.94180894,1.11855,1.3997396,1.6353041,1.7309031,1.6547855,1.4311258,1.1171479,0.87868166,0.93455005,1.2221328,1.759076,1.3526616,1.1848688,0.7592194,0.29841518,0.26327154,1.0411456,1.4841114,1.337615,0.74832207,0.7319914,0.83615595,0.7552188,0.62569606,0.57264936,0.7575344,0.9145649,1.0256408,1.0652106,1.1309619,1.0193247,1.2684888,1.8582752,1.9223816,0.5481092,1.09716,1.8564031,3.501116,5.1388083,3.6506202,2.146155,3.2741349,3.4748878,5.7676287,6.375273,3.037294,3.168868,1.8079432,3.1907783,3.5037646,2.4878128,2.322813,2.310175,1.17623,0.3911018,0.7899963,1.283007,0.9825044,0.9022101,0.9603155,0.78541744,0.42997974,0.51385105,0.24344668,0.6425425,0.81019545,0.8255297,0.8229483,0.8360187,0.656493,0.44796008,0.27443707,0.19612035,0.15801463,0.33126512,0.35818192,0.27948415,0.48268422,0.7469716,0.40417325,0.13913803,0.24841353,0.14086701,0.08943708,0.11887166,0.6369454,1.009813,0.730327,0.36991826,0.4605657,0.84719765,0.8839538,0.43960556,0.18688852,0.3684809,0.18870714,0.15649584,0.3162777,0.46297854,0.22928964,0.61265177,0.7784721,0.45682052,0.09604138,0.13866262,0.47349238,0.8012895,0.79978603,0.4716874,0.20557213,0.40205476,0.2678381,0.40782997,0.6771548,0.85062,0.62238765,0.31573156,0.068116315,0.10769731,0.50309026,0.6307484,0.48835427,0.18279132,0.03639332,0.12374444,0.14332315,0.31095004,0.0,A
0.002251459,0.006850148,0.010133987,0.0018336981,0.0055656857,0.010377782,0.015894825,0.0205489,0.013138355,0.02090782,0.01589835,0.013658887,0.021366755,0.049434703,0.019033115,0.08571784,0.13548127,0.13636671,0.15777467,0.34339744,0.114115514,0.23652521,1.2998708,1.816745,2.804907,2.6465654,2.8758812,1.927307,2.420133,2.558768,5.125115,2.4922984,3.0042212,0.55913675,1.584229,1.5874392,2.2344906,2.1506436,3.4454517,2.250285,2.8818846,2.5337055,1.6345187,1.9263622,5.0474906,6.3885365,6.251565,8.646161,8.510922,7.541156,11.4686165,7.491058,3.4409928,6.184712,1.0106509,2.8353772,2.9914849,1.2020472,3.1679547,0.9042098,3.661074,2.7309508,1.2698345,3.0861685,2.6888723,1.232076,1.5486547,2.1153417,2.4742837,2.5393908,1.2186972,0.6408343,1.5010722,1.3903147,2.0284114,3.3334289,6.065996,3.1973653,1.0198472,2.0638444,1.5445576,0.531546,2.9087324,0.94565165,0.63281363,0.8556944,0.54978275,0.5532031,1.0604764,1.2767044,0.974684,0.41007963,0.9589479,0.730036,0.7384839,0.9644876,1.360172,0.91763806,0.7656004,1.6364417,2.7328386,1.6528308,1.582359,1.7864224,1.5486506,1.1132834,0.46000043,1.3981942,2.5674696,3.669179,5.1805096,4.222632,2.999749,3.817439,3.0059915,3.72927,4.814513,5.9092693,7.4496326,3.8311036,0.45565346,2.271855,2.3614614,1.7513906,0.8464575,0.40044436,0.27324218,1.3725288,1.6391821,1.7565509,2.198196,2.351741,2.1905503,2.1724913,1.2976503,0.24483098,1.1820755,1.7286994,1.475103,1.2055725,0.52962404,0.38000667,0.15820545,0.27120903,0.48046872,0.14936082,0.1900809,0.10990353,0.4517127,0.89655906,1.469437,1.5916557,0.90133905,1.2597023,1.3853137,0.19355804,0.9834519,1.4463761,1.5212669,1.0587869,0.56492233,0.18698968,0.31887677,0.22477081,0.5310392,0.9552178,1.177229,1.3043364,1.0514865,0.839254,0.9337689,1.1117028,1.3757832,1.5919825,1.218481,0.5358564,0.18254603,0.26842684,0.44620442,0.779632,0.5866924,0.27710852,0.2312392,0.48468596,0.5151872,0.4411878,0.07160841,0.26333228,0.4499186,0.6031812,0.48384753,0.20514841,0.11735702,0.17501046,0.45371065,0.62242365,0.42074367,0.2413614,0.2687455,0.0,A
0.007616764,0.008088115,0.007621762,0.015130863,0.012644675,0.007460919,0.0073200986,0.011241226,0.017723985,0.024843315,0.059694506,0.02062434,0.07595697,0.0332229,0.08942521,0.13154912,0.23745064,0.25316823,0.23989815,0.28473198,0.44612038,0.63325953,1.4745364,1.4159399,2.7072945,1.9124199,2.6472478,2.2838106,1.7544715,4.293668,3.495005,5.6907315,0.41496053,2.6749814,2.3118742,1.2056028,2.231168,2.7356262,3.3615413,3.587276,2.9901912,2.0799887,1.9779532,2.5837014,4.3274117,6.1148,9.532231,9.385642,6.430059,5.1578293,7.466705,4.7134495,2.825697,6.5213404,4.552253,1.4204485,5.5797157,5.6613755,1.7195057,3.47953,5.21672,4.424073,2.3529224,2.2294073,2.6548808,1.5969856,2.298742,2.9610724,3.2487147,2.940834,1.690179,1.5020646,1.2749976,0.68676555,1.3647985,4.1729364,6.304563,3.07536,0.27344498,1.4462922,2.0609465,1.9907264,0.9398899,0.5264594,1.2779034,0.6272683,0.81730187,1.3683828,1.3737646,1.0535196,0.95483947,1.360515,1.4000543,1.2920375,1.2548137,0.91001534,1.1207843,1.7444481,1.5245228,2.35358,2.3679276,0.757142,0.83421725,1.1920059,1.0847055,3.0654607,2.3359795,1.9226297,2.5970533,3.5712304,2.8446422,3.2223525,4.783993,7.6367073,9.96519,9.579925,5.919674,4.5443063,5.2383404,5.4555063,4.133164,2.8063753,1.0639112,0.31233546,0.8420785,1.0150925,1.5780227,1.612331,0.76949966,0.28820074,0.22613621,0.37778398,0.5994775,0.86424994,0.9155024,1.0604255,0.8931556,0.3547609,0.5981984,0.579907,0.41594642,0.32227197,0.04322118,0.11257071,0.2056114,0.16821401,0.058140725,0.3109776,0.37654647,0.38854316,0.2824541,0.36176574,0.4321381,0.6234927,0.9163132,0.8113262,0.7622789,0.43992704,0.020841356,0.24553803,0.353231,0.34522396,0.12669024,0.36977476,0.41687703,0.45073238,0.34238493,0.16995673,0.11922908,0.2176184,0.16940172,0.1359592,0.584521,1.1522087,1.3151674,1.0616615,0.68007773,0.3027108,0.18194519,0.45269158,0.4537805,0.22923394,0.17863746,0.5275099,0.7323686,0.7283857,0.5392675,0.3566572,0.16188978,0.077277794,0.11505495,0.13319863,0.17706257,0.19500318,0.21351069,0.2481545,0.28043064,0.22970526,0.13944604,0.0,A
0.17197749,0.17295821,0.17635603,0.18000105,0.1812664,0.17829975,0.17568217,0.18316135,0.20378175,0.22329617,0.22657384,0.20738438,0.18604371,0.2041958,0.26274598,0.31082162,0.31355897,0.27213833,0.25125828,0.34447932,0.4917846,0.6218384,0.719037,0.8087234,0.9869392,1.219841,1.5015545,1.7136524,1.7904388,1.6886905,1.4133654,1.0301762,0.64404786,0.4166263,0.4080755,0.4863331,0.67008656,1.0393378,1.4257063,1.7586737,1.9162294,1.8674235,1.8009417,2.0263457,2.6807992,3.5720882,4.4370155,5.126923,5.475017,5.5179915,5.10153,4.434806,3.480611,2.47008,1.4617598,0.6447078,0.42191455,0.6866624,0.82305866,0.77543026,0.6123254,0.35624856,0.10701423,0.1908561,0.45387143,0.7039144,0.88964474,0.9690232,0.92512286,0.7896251,0.71199244,0.828841,1.115474,1.384235,1.578032,1.6224644,1.566834,1.4212104,1.2240325,1.0121973,0.8167094,0.6310529,0.46889517,0.34084013,0.23945713,0.19957024,0.24416825,0.3171986,0.40276134,0.49542135,0.5835597,0.6520521,0.71366334,0.7614021,0.8145367,0.89032716,0.9865741,1.089701,1.1926085,1.261129,1.2986677,1.299828,1.2527689,1.1698307,1.0564204,0.9118192,0.74473166,0.5683147,0.38553506,0.1888258,0.0564435,0.21951306,0.42266518,0.5923612,0.7365092,0.8548861,0.92316,0.962547,0.9678777,0.9419493,0.9056587,0.85695386,0.8099232,0.74963605,0.6876767,0.640468,0.5912319,0.555482,0.51981014,0.49195746,0.46049657,0.44258463,0.4236298,0.40756825,0.39341098,0.37764442,0.36069807,0.3436027,0.33197728,0.32576066,0.31940332,0.3136433,0.30959058,0.30344424,0.29841673,0.29471216,0.2933463,0.2904405,0.2905455,0.29973754,0.28534237,0.28751692,0.28457612,0.2781812,0.2714656,0.26216903,0.25361755,0.250531,0.25366294,0.26540032,0.2780655,0.29859456,0.3174946,0.33330002,0.34623414,0.33824772,0.3224872,0.2957485,0.26189315,0.22570865,0.19059955,0.16298538,0.14123718,0.13274585,0.14411265,0.1548573,0.17634933,0.19395986,0.20460604,0.20932277,0.20913841,0.20923178,0.20920049,0.2154438,0.22818935,0.24098858,0.256459,0.25501287,0.26291552,0.25506258,0.24629751,0.2339397,0.21696824,0.20012861,0.18635568,0.17570052,0.17822625,0.17432144,0.19868767,0.0,A
0.040780377,0.05463268,0.043540705,0.043272994,0.05393469,0.0397532,0.04076168,0.06423942,0.051538568,0.046598397,0.06325824,0.050426405,0.063909754,0.057175416,0.09475189,0.19690476,0.20478657,0.4846999,0.09906983,0.2913946,0.31165555,1.1311146,1.2236136,1.4035543,1.6463393,1.6377748,1.6407343,1.6991867,0.93431014,5.4185243,3.4443936,4.9225307,4.8071613,0.5678623,0.5571389,1.3537815,1.1904881,2.7191591,4.728579,5.925797,5.9513927,3.5608656,2.3894243,4.517641,9.397733,10.98761,11.47742,12.808075,10.689441,3.494153,8.1309,5.0701847,4.7633815,1.3805931,4.865047,4.128374,3.53628,7.200223,7.195039,3.09558,2.3826005,7.459567,8.933204,5.6496305,4.13583,2.9946098,3.3476586,3.4603448,3.7506714,5.0196404,3.9418836,0.46325567,1.8478299,1.9842829,3.170372,1.4746412,4.363091,3.3807073,0.90283084,1.3412057,2.3288805,3.082996,2.3849058,1.605291,2.384024,2.3370948,1.555896,1.524376,2.0310678,3.2026064,3.0289328,2.204196,1.5733273,1.2666388,1.8630192,2.5091333,3.649768,2.346901,1.2208827,0.7463815,2.170068,2.6407695,2.4773762,2.1991181,3.5746315,4.76931,3.3605502,1.2645029,1.7816675,4.434242,6.895699,6.5788355,6.820988,7.482561,6.7478266,7.0923057,6.628566,2.979832,2.212758,5.224036,5.428727,5.0635705,3.7140934,1.8594189,0.8879351,0.7527202,0.7712433,0.14038002,1.1404349,1.470099,1.4842348,1.0599667,1.0010338,1.0557364,0.846259,0.85849005,1.1162605,1.1354594,0.6546526,0.1751733,0.5634333,0.6368715,0.4177244,0.22061618,0.2361313,0.25327304,0.16944505,0.77511144,1.3858293,1.2189943,0.30667153,0.5522204,0.5933462,0.2665803,0.13961598,0.088935755,0.09674461,0.5348773,0.86274815,0.9648524,1.1555864,1.0217632,0.5844049,0.4171805,0.14302467,0.81451136,1.3100215,1.1158638,0.8179224,0.7486723,0.6642552,0.40502605,0.25441936,0.81675327,1.0109813,0.78103185,0.49676323,0.6359216,0.7284785,0.6052182,0.29156786,0.430789,0.45292908,0.18466774,0.110750504,0.2351291,0.3810332,0.48184633,0.46505642,0.2378784,0.1486733,0.2539913,0.24104944,0.30719766,0.33745185,0.2734687,0.14707994,0.41380998,1.1226797,0.0,A
